Left Elbow Angle,Right Elbow Angle,Left Shoulder Angle,Right Shoulder Angle,Left Knee Angle,Right Knee Angle,Label
184.41863503108286,186.6941081203462,193.10169993394376,182.71302943072254,180.1454058123952,179.01163245119002,tadasana.mp4
184.47577581186593,186.65171161615035,193.13342101131477,182.70721921672174,180.14281718293665,179.00907574550803,tadasana.mp4
184.50839703934068,186.58307657011784,193.15278814085642,182.706419641751,180.13886339462866,179.00578226064889,tadasana.mp4
184.56723144220365,186.4150029956357,193.23304358076984,182.8272411695924,180.1213661288081,178.9975392245274,tadasana.mp4
184.58651158284738,186.22102056757345,193.2572164452293,182.95728035014602,180.11166703684313,178.9951912592472,tadasana.mp4
184.64974916563082,185.97407081737256,193.32566141072363,183.1270792527149,180.09602331210812,178.9937040868699,tadasana.mp4
184.5824370834835,185.7772860622047,193.32340226671786,183.30901050168285,180.08411036187331,178.98482571384127,tadasana.mp4
184.74290824958408,185.88846677471034,193.9443267245323,183.1155840885803,180.07274687893903,178.98149377605563,tadasana.mp4
184.82509396562023,186.0332282477662,194.26433321559787,182.88215072727525,180.051681405989,178.97140849844706,tadasana.mp4
184.9022681364936,186.07289031482313,194.38472970178142,182.7940034286596,180.0284166604792,178.96441579058524,tadasana.mp4
184.69061744989435,186.19407234785874,194.33340107762837,182.84813339290653,179.98884598459085,178.95502288187882,tadasana.mp4
184.69409679803582,186.31801290234395,194.34038211573565,182.9257683775902,179.94527386005123,178.95182106941164,tadasana.mp4
184.77817254076336,186.33181454519107,194.37249227711172,182.9994049624997,179.9187739296813,178.94885536823276,tadasana.mp4
184.8031729063219,186.63737723667757,194.3950147170617,183.07209889031876,179.90109479136237,178.94589996329955,tadasana.mp4
184.80513197878207,186.9569654542647,194.43461217029304,183.09704677769267,179.88199367264053,178.93055014838774,tadasana.mp4
184.84237720073412,187.1862139055106,194.49379726873227,183.11459815414136,179.86415375925554,178.8985131107326,tadasana.mp4
184.8898765409248,187.41314551613303,194.5561270399286,183.12619565577452,179.84876318815657,178.87765111579347,tadasana.mp4
184.922104989731,187.45605150655018,194.61251493143484,183.12265401259342,179.80742462271235,178.85521795864636,tadasana.mp4
184.87762614564414,187.40728828180474,194.60177488267374,183.11456793211107,179.77611277617774,178.82572502129815,tadasana.mp4
184.81351032511384,187.25548625853668,194.57749826583193,183.08174867187068,179.7428970472459,178.8082045060702,tadasana.mp4
184.74606511384738,187.09750961275972,194.54348287140314,182.99403759396552,179.69827892060954,178.78598671057662,tadasana.mp4
184.60431399225084,186.83778860063023,194.4961318193769,182.95651293405874,179.64022879895057,178.7528643658575,tadasana.mp4
184.4938270663778,186.74517530431513,194.43919223618144,182.9382183956225,179.60776981025316,178.73692200461178,tadasana.mp4
184.4145580810311,186.66730549665087,194.42697200432445,182.93936797770235,179.5772831773738,178.7235453355712,tadasana.mp4
184.30345433860185,186.64662001294374,194.39575235684927,182.93172683798898,179.5563216379605,178.70822129293217,tadasana.mp4
184.16276946321673,186.5823273352115,194.35117547367906,182.94504270132063,179.5173205660774,178.67810230164352,tadasana.mp4
184.07033601029798,186.40010106222027,194.29752548217263,182.9704366659791,179.48067967433315,178.64744092738798,tadasana.mp4
183.9759871353818,186.28703594662105,194.2618322947462,182.9838789499327,179.47182930770612,178.6244173294728,tadasana.mp4
183.8750585631372,186.10014523529017,194.22915888795552,183.00387683380023,179.44559048874194,178.60436295535408,tadasana.mp4
183.8335776122903,185.96469074853002,194.23578850603712,183.00442455032544,179.4242744879241,178.59973118893927,tadasana.mp4
183.73254683010748,185.8464374297628,194.17459177803832,183.02891613266604,179.41003940986,178.56855213961364,tadasana.mp4
183.65333978742694,185.78224096655592,194.1202737742828,183.06115704346874,179.38253469663024,178.5342135979139,tadasana.mp4
183.47710510063308,185.73459704354636,194.01208983773685,183.10925280877507,179.35830165721967,178.49887312864084,tadasana.mp4
183.20451048974036,185.7355313020006,193.8369370797808,183.15634256259068,179.24088543562846,178.4213108242564,tadasana.mp4
183.00546582134487,185.77753932827915,193.6980685799538,183.20872242545886,179.15036717912633,178.3534690113727,tadasana.mp4
182.78545795913107,185.80208144691295,193.5769809107025,183.2722425642638,179.07392982171905,178.32097664276435,tadasana.mp4
182.5881212617383,185.8213353782015,193.4744168246273,183.3020631532488,179.0263542147172,178.29780413182453,tadasana.mp4
182.46797898744398,185.8866190089602,193.44424215356165,183.3028326883001,179.01181789662002,178.27964380356948,tadasana.mp4
182.39621229737077,185.86315812172168,193.4567162308764,183.3222219659585,178.98555672579613,178.27328402057285,tadasana.mp4
182.29713976205136,185.91561688476347,193.45853366033887,183.31820192243856,178.96350793176592,178.28700326984114,tadasana.mp4
182.29152808940776,185.91706674278552,193.4948479800997,183.36221542979214,178.9228897696978,178.31272314476772,tadasana.mp4
182.3284655160344,185.88993288235292,193.54830811662694,183.47601749686038,178.87952149496525,178.32031437853897,tadasana.mp4
182.5507481643161,185.7967788703762,193.6820561476324,183.5800271111953,178.809678460671,178.3051468559444,tadasana.mp4
182.78431748863767,185.8044864350356,193.726435113751,183.47724329215617,178.76893632582343,178.28301840288435,tadasana.mp4
183.06447055541554,185.7745818014107,193.8207014982137,183.41514409734458,178.68672344887943,178.24373779223674,tadasana.mp4
183.08427179577802,185.68863065931424,193.80656184443257,183.4555211248746,178.5995596281744,178.20789013082268,tadasana.mp4
182.93931429206103,185.7343192506419,193.70820627563032,183.47086226579643,178.56311010790432,178.19620284089942,tadasana.mp4
182.87012877618096,185.80314490031162,193.6645934837197,183.4101171746058,178.56430174025957,178.18970848847067,tadasana.mp4
182.6533535205505,185.88482001870497,193.4667663977583,183.4177741742306,178.55976819650627,178.18962563098876,tadasana.mp4
182.47227911954877,186.1742871961889,193.2676915901008,183.4438494538134,178.58597083686942,178.20577442953135,tadasana.mp4
182.24267319838444,186.33247215881357,193.06318960802517,183.48133962374658,178.73995845836947,178.21078030459745,tadasana.mp4
181.99432744419934,186.66405773656268,192.88944764517436,183.5406827708502,178.88290386365713,178.21826077354413,tadasana.mp4
181.5725961323302,186.93670229732484,192.62461738842237,183.6201120409799,178.95349902147942,178.2487373412027,tadasana.mp4
181.22297019983588,187.29273348896993,192.4284697001859,183.703391331365,178.9731917694725,178.29403215060736,tadasana.mp4
180.94887169511412,187.50926583608575,192.27904374789426,183.78605354888333,179.00836298273396,178.3458038485712,tadasana.mp4
180.90355043413007,187.71901435141,192.2488788707609,183.8586202641108,179.0890609395921,178.42129754713795,tadasana.mp4
180.69846809485503,187.76887490734208,192.1058388515545,183.93488524710497,179.1360927132906,178.47036289704454,tadasana.mp4
180.3356874814227,187.7394320440716,191.87790574506607,184.1757644643604,179.21987695638603,178.50613126553026,tadasana.mp4
179.90462894659439,187.67491531758023,191.60285950958578,184.475208386508,179.28210275673703,178.4762676693905,tadasana.mp4
179.68044218824156,187.53116597263482,191.44824493496085,184.6916792957419,179.3390045445214,178.46021867645794,tadasana.mp4
179.4816817438413,187.4267285060825,191.30150998293522,184.82968669559096,179.40556159391068,178.4457532279793,tadasana.mp4
179.34700934942268,187.4069774549796,191.22621120613857,184.88198514690865,179.49813808015992,178.56117157388422,tadasana.mp4
179.28738153854002,187.3874504599194,191.19134160438205,184.92486428885175,179.56026502814626,178.5875788316111,tadasana.mp4
179.24176571889063,187.35240679594838,191.14107307768782,184.96322851661162,179.6537404748059,178.77520781784833,tadasana.mp4
179.18742603792052,187.31499360647695,191.0957788116373,184.96910719182642,179.8016462184773,178.93473967243074,tadasana.mp4
179.15447849519092,187.2691136929594,191.07241285735594,184.99123728963855,179.98616584025686,179.15148260339225,tadasana.mp4
179.14916849081553,187.1770504124005,191.07381139448387,184.97121062426717,180.1779803059603,179.4358231075153,tadasana.mp4
